CompPrice,Income,Advertising,Population,Price,Age,Education
107,79,2,488,103,65,16
115,65,0,217,90,60,17
128,62,7,125,116,43,14
132,118,12,272,151,43,14
116,99,5,298,125,62,12
131,29,11,335,127,33,12
122,87,9,17,106,65,13
139,35,0,95,129,42,13
135,75,0,202,128,80,10
145,53,0,507,119,41,12
112,88,2,243,99,62,11
130,94,8,137,128,64,12
128,105,11,249,131,63,13
125,89,10,380,87,28,10
119,100,5,45,108,75,10
127,103,0,125,155,29,15
131,113,0,181,120,63,14
89,78,0,181,49,43,15
153,68,2,60,133,59,16
125,48,3,192,116,51,14
133,100,3,350,126,55,13
143,120,7,279,147,40,10
94,84,13,497,77,51,12
108,69,3,208,94,77,16
125,87,9,232,136,72,10
132,98,2,265,97,62,12
132,31,0,327,131,76,16
96,94,14,384,120,36,18
131,75,0,10,120,31,18
128,42,0,436,118,80,11
125,103,12,371,109,44,10
146,62,10,310,94,30,13
133,60,10,277,129,45,18
140,42,0,331,131,28,15
124,84,0,300,104,77,15
122,88,7,36,159,28,17
132,68,0,264,123,34,11
144,63,11,27,117,47,17
114,83,0,412,131,39,14
140,54,9,402,119,41,16
110,119,0,384,97,72,14
121,120,13,140,87,56,11
122,84,8,176,114,57,10
111,58,17,407,103,75,17
128,78,0,341,128,45,13
150,36,7,488,150,25,17
129,69,10,289,110,50,16
98,72,0,59,69,65,16
146,34,0,220,157,51,16
121,58,8,249,90,48,13
142,90,1,189,112,39,10
119,60,0,372,70,30,18
111,28,0,486,111,29,12
143,21,5,81,160,67,12
122,74,0,424,149,51,13
130,64,0,40,106,39,17
148,64,0,58,141,27,13
147,58,7,100,191,27,15
119,67,17,151,137,55,11
106,73,0,216,93,60,13
129,89,0,425,117,45,10
104,41,15,492,77,73,18
128,39,12,356,118,71,10
93,106,12,416,55,75,15
104,102,13,123,110,35,16
135,91,5,207,128,66,18
139,24,0,358,185,79,15
115,89,0,38,122,25,12
138,107,9,480,154,47,11
138,72,0,148,94,27,17
104,71,14,89,81,25,14
144,25,3,70,116,77,18
137,112,15,434,149,66,13
121,83,0,79,91,68,11
137,60,4,230,140,25,13
118,74,6,426,102,80,18
132,33,7,35,97,60,11
130,100,11,449,107,64,10
120,51,0,93,86,46,17
117,32,0,142,96,62,17
116,37,0,426,90,76,15
118,117,18,509,104,26,15
130,37,13,297,101,37,13
156,42,13,170,173,74,14
108,26,0,408,93,56,14
139,70,7,71,96,61,10
112,98,18,481,128,45,11
117,93,4,420,112,66,11
130,28,6,410,133,72,16
124,61,0,333,138,76,16
112,80,5,500,128,69,10
122,88,5,335,126,64,14
144,92,0,349,146,62,12
138,83,0,139,134,54,18
121,78,4,413,130,46,10
131,82,0,132,157,25,14
155,80,0,237,124,37,14
113,22,1,317,132,28,12
162,67,0,27,160,77,17
111,105,0,466,97,61,10
86,54,0,497,64,33,12
98,21,11,326,90,76,11
125,41,2,357,123,47,14
117,118,14,445,120,32,15
145,69,19,501,105,45,11
149,84,5,220,139,33,10
115,115,3,48,107,73,18
116,83,15,170,144,71,11
141,33,0,243,144,34,17
106,44,0,481,111,70,14
138,61,12,156,120,25,14
116,79,19,359,116,58,17
131,120,15,262,124,30,10
124,44,0,125,107,80,11
136,119,6,178,145,35,13
110,45,9,276,125,62,14
134,82,0,464,141,48,13
107,25,0,412,82,36,14
119,33,0,245,122,56,14
113,64,10,68,101,57,16
149,73,13,381,163,26,11
98,104,0,404,72,27,18
115,60,0,119,114,38,14
132,69,0,123,122,27,11
137,80,10,24,105,61,15
123,76,18,218,120,29,14
115,62,11,289,129,56,16
126,32,8,95,132,50,17
141,34,16,361,108,69,10
151,28,8,499,135,48,10
121,24,0,200,133,73,13
123,105,0,149,118,62,16
159,80,0,362,121,26,18
136,63,0,160,94,38,12
124,46,0,199,135,52,14
124,25,13,87,110,57,10
130,30,0,391,100,26,18
114,43,0,199,88,57,10
120,56,20,266,90,78,18
123,114,0,298,151,34,16
111,52,0,12,101,61,11
125,67,0,86,117,65,11
137,105,10,435,156,72,14
139,111,5,310,132,62,13
133,97,0,70,117,32,16
124,24,5,288,122,57,12
108,104,23,353,129,37,17
123,81,8,198,81,80,15
147,40,0,277,144,73,10
125,62,14,477,112,80,13
108,38,0,251,81,72,14
123,36,10,467,100,74,11
129,117,8,400,101,36,10
121,42,4,188,118,54,15
120,77,15,86,132,48,18
116,26,6,434,115,25,17
128,29,5,324,159,31,15
130,35,10,402,129,39,17
128,93,12,343,112,73,17
134,82,7,473,112,51,12
123,57,0,66,105,39,11
159,69,0,438,166,46,17
119,26,0,284,89,26,10
111,56,0,504,110,62,16
113,33,0,14,63,38,12
116,106,8,244,86,58,12
135,93,2,67,119,34,11
107,119,11,210,132,53,11
135,69,14,296,130,73,15
136,48,12,326,125,36,16
114,113,2,129,151,40,15
141,57,13,376,158,64,18
121,86,10,496,145,51,10
122,69,7,303,105,45,16
150,96,0,80,154,61,11
135,110,0,112,117,80,16
106,46,11,414,96,79,17
146,26,11,261,131,39,10
117,118,11,429,113,67,18
95,44,4,208,72,44,17
116,40,0,74,97,76,15
143,77,25,448,156,43,17
107,111,14,400,103,41,11
118,70,0,106,89,39,17
113,66,16,322,74,76,15
123,84,0,74,89,59,10
148,76,3,126,99,60,11
118,35,14,502,137,79,10
127,44,13,160,123,63,18
118,83,13,276,104,75,10
148,63,0,312,130,63,15
135,40,17,497,96,54,17
116,78,1,158,99,45,11
99,93,0,198,87,57,16
108,77,13,388,110,74,14
133,52,16,290,99,43,11
123,98,12,408,134,29,10
115,29,26,394,132,33,13
131,32,1,85,133,48,12
138,92,0,13,120,61,12
126,80,19,436,126,52,10
131,111,13,33,80,68,18
175,65,29,419,166,53,12
146,68,12,328,132,51,14
137,117,5,337,135,38,10
103,81,3,491,54,66,13
133,33,10,333,129,71,14
131,21,8,220,171,29,14
122,36,5,369,72,35,10
142,30,0,472,136,80,15
116,72,10,456,130,41,14
127,45,19,459,129,57,11
136,70,12,171,152,44,18
123,39,5,499,98,34,15
140,50,10,300,139,60,15
107,105,18,428,103,34,12
136,65,4,133,150,53,13
144,69,11,131,104,47,11
133,30,0,152,122,53,17
112,38,17,316,104,80,16
117,66,1,65,111,55,11
100,54,9,433,89,45,12
122,59,0,501,112,32,14
135,63,15,213,134,32,10
106,33,20,354,104,61,12
136,60,7,303,147,41,10
93,117,9,489,83,42,13
120,70,15,464,110,72,15
138,35,6,60,143,28,18
130,38,0,283,102,80,15
112,24,0,164,101,45,11
134,44,4,219,126,44,15
140,29,0,105,91,43,16
98,120,0,268,93,72,10
137,102,13,422,118,71,10
117,42,10,371,121,26,14
138,80,0,108,126,70,13
121,68,0,279,149,79,12
132,107,0,144,125,33,13
96,39,0,161,112,27,14
132,102,20,459,107,49,11
134,27,18,467,96,49,14
111,101,17,266,91,63,17
124,115,16,458,105,62,16
133,103,14,288,122,61,17
107,67,12,430,92,35,12
133,31,1,80,145,42,18
130,100,0,306,146,42,11
142,109,0,111,164,72,12
103,73,3,276,72,34,15
123,96,10,71,118,69,11
130,62,11,396,130,66,14
118,86,7,265,114,52,15
131,25,10,183,104,56,15
131,55,0,26,110,79,12
111,75,1,377,108,25,12
122,21,16,488,131,30,14
154,30,0,122,162,57,17
124,56,11,447,134,53,12
95,106,0,256,53,52,17
109,22,10,348,79,74,14
135,100,22,463,122,36,14
126,41,22,403,119,42,12
152,81,0,191,126,54,16
121,50,0,508,98,65,11
137,71,0,402,116,78,17
131,47,7,90,118,47,12
132,46,4,206,124,73,11
141,60,19,319,92,44,11
132,61,0,263,125,41,12
133,88,3,105,119,79,12
125,111,0,404,107,54,15
106,64,10,17,89,68,17
124,65,21,496,151,77,13
121,28,19,315,121,66,14
98,117,0,76,68,63,10
123,37,15,348,112,28,12
131,73,13,455,132,62,17
152,116,0,170,160,39,16
142,73,14,238,115,73,14
135,89,11,245,78,79,16
128,42,8,328,107,35,12
108,75,9,61,111,67,12
153,63,0,49,124,56,16
129,42,13,315,130,34,13
109,51,10,26,120,30,17
130,58,19,366,139,33,16
138,108,17,203,128,33,14
139,23,3,37,120,55,11
162,26,12,368,159,40,18
100,79,7,284,95,50,12
134,37,0,27,120,49,16
